iter	Passed	Remaining
467	751	854
468	753	852
469	754	850
470	755	848
471	757	847
472	758	845
473	761	845
474	762	843
475	763	840
476	765	838
477	766	836
478	767	834
479	769	833
480	771	832
481	772	830
482	773	828
483	776	828
484	778	826
485	779	824
486	780	821
487	781	819
488	782	817
489	783	815
490	783	812
491	784	810
492	785	808
493	786	805
494	787	803
495	791	804
496	793	803
497	794	801
498	795	798
499	796	796
500	797	794
501	799	792
502	800	790
503	801	788
504	802	786
505	803	784
506	804	782
507	806	780
508	807	779
509	809	777
510	810	775
511	811	773
512	813	772
513	816	771
514	817	770
515	818	768
516	819	765
517	820	763
518	821	761
519	822	759
520	823	757
521	825	755
522	826	753
523	827	751
524	828	749
525	831	748
526	833	748
527	836	747
528	838	746
529	839	744
530	840	742
531	841	740
532	842	738
533	843	736
534	844	734
535	846	732
536	847	731
537	848	728
538	849	726
539	855	729
540	857	727
541	858	725
542	862	725
543	864	724
544	866	723
545	868	721
546	869	720
547	871	718
548	872	716
549	873	714
550	874	712
551	876	711
552	878	710
553	879	708
554	880	705
555	881	703
556	882	701
557	883	699
558	883	697
559	884	695
560	885	693
561	886	691
562	887	689
563	888	687
564	891	686
565	893	684
566	894	682
567	895	680
568	896	678
569	897	677
570	898	675
571	899	673
572	901	671
573	902	669
574	903	667
575	906	667
576	907	665
577	908	663
578	909	661
579	910	659
580	911	657
581	912	655
582	913	653
583	914	651
584	915	649
585	916	647
586	916	645
587	917	643
588	918	641
589	920	639
590	921	637
591	921	635
592	922	633
593	923	631
594	924	629
595	925	627
596	926	625
597	927	623
598	928	621
599	929	619
600	930	617
601	931	615
602	933	614
603	934	612
604	935	610
605	936	609
606	937	607
607	938	605
608	939	603
609	940	601
610	941	599
611	942	597
612	943	595
613	944	593
614	944	591
615	945	589
616	946	587
617	949	586
618	950	585
619	951	583
620	952	581
621	953	579
622	954	577
623	955	575
624	956	573
625	956	571
626	957	569
627	958	567
628	959	566
629	960	564
630	961	562
631	962	560
632	963	558
633	964	556
634	965	555
635	966	553
636	967	551
637	968	549
638	969	547
639	970	546
640	971	544
641	972	542
642	974	540
643	976	539
644	977	537
645	978	536
646	979	534
647	980	532
648	981	530
649	982	529
650	983	527
651	984	525
652	985	523
653	987	522
654	988	520
655	989	518
656	991	517
657	992	515
658	993	514
659	994	512
660	996	511
661	998	509
662	999	507
663	1000	506
664	1001	504
665	1002	502
666	1003	500
667	1004	499
668	1006	498
669	1007	496
670	1008	494
671	1009	492
672	1010	491
673	1011	489
674	1012	487
675	1013	485
676	1014	483
677	1015	482
678	1016	480
679	1016	478
680	1017	476
681	1018	475
682	1021	474
683	1022	472
684	1023	470
685	1024	468
686	1025	467
687	1026	465
688	1027	463
689	1027	461
690	1028	460
691	1029	458
692	1030	456
693	1031	454
694	1032	453
695	1033	451
696	1034	449
697	1036	448
698	1036	446
699	1037	444
700	1038	443
701	1039	441
702	1040	439
703	1041	438
704	1042	436
705	1043	434
706	1044	432
707	1045	431
708	1046	429
709	1050	428
710	1051	427
711	1052	425
712	1053	423
713	1054	422
714	1055	420
715	1056	418
716	1057	417
717	1058	415
